utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
28 %, 6 %, 5934 MiB, 5033 MiB, 901 MiB
19 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
19 %, 7 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
8 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
18 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
44 %, 10 %, 5934 MiB, 5033 MiB, 901 MiB
11 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
1 %, 0 %, 5934 MiB, 5023 MiB, 911 MiB
8 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
0 %, 0 %, 5934 MiB, 5033 MiB, 901 MiB
0 %, 0 %, 5934 MiB, 5034 MiB, 900 MiB
10 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
33 %, 4 %, 5934 MiB, 5022 MiB, 912 MiB
2 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5012 MiB, 922 MiB
38 %, 19 %, 5934 MiB, 5012 MiB, 922 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
12 %, 5 %, 5934 MiB, 5022 MiB, 912 MiB
31 %, 12 %, 5934 MiB, 5032 MiB, 902 MiB
4 %, 1 %, 5934 MiB, 4876 MiB, 1058 MiB
40 %, 9 %, 5934 MiB, 4872 MiB, 1062 MiB
8 %, 0 %, 5934 MiB, 4879 MiB, 1055 MiB
12 %, 1 %, 5934 MiB, 4879 MiB, 1055 MiB
8 %, 1 %, 5934 MiB, 4896 MiB, 1038 MiB
32 %, 4 %, 5934 MiB, 5031 MiB, 903 MiB
12 %, 1 %, 5934 MiB, 5057 MiB, 877 MiB
16 %, 2 %, 5934 MiB, 5058 MiB, 876 MiB
14 %, 3 %, 5934 MiB, 5058 MiB, 876 MiB
30 %, 7 %, 5934 MiB, 5058 MiB, 876 MiB
30 %, 6 %, 5934 MiB, 5058 MiB, 876 MiB
